estado_digital;valor_sensor;voltaje;campo_gauss;campo_militeslas
0;531;259.531; 0.00272; 0.00027
0;533;260.508; 0.00815; 0.00081
0;537;262.463; 0.01901; 0.00190
0;547;267.351; 0.04616; 0.00462
