estado_digital,valor_sensor,voltaje,campo_gauss,campo_militeslas,distancia_metros
0,533,260.508,0.00543,0.00054,0.15
0,536,261.975,0.01357,0.00136,0.1
0,551,269.306,0.0543,0.00543,0.05
0,586,286.413,0.14934,0.01493,0.01
